1	1	0.0828	0.0347
2	1	0.0274	0.0172
3	1	0.0115	0.0022
4	1	0.0112	0.0157
5	1	0.0065	0.0149
6	1	0.0025	0.0000
7	1	0.0357	0.0147
8	1	0.0232	0.0291
9	1	0.0356	0.0092
10	1	0.0458	0.0490
11	1	0.0836	0.0208
12	1	0.0638	0.0221
13	1	0.0909	0.0972
14	1	0.0281	0.0204
15	2	0.0477	0.0461
16	2	0.0313	0.0114
17	2	0.0437	0.0417
18	2	0.0358	0.0021
19	2	0.0477	0.0488
20	2	0.0579	0.0591
21	2	0.0664	0.0986
22	2	0.0871	0.0529
23	2	0.0517	0.0577
24	2	0.1102	0.1018
25	2	0.0776	0.0329
26	2	0.0970	0.0110
27	2	0.0157	0.0258
28	2	0.1203	0.1171
